Word;POS;Polarity;#+;#-;#0;#iteration
emanar;vrb;0;1;0;3;3;
caixão;nom;+;1;0;0;6;
tumba;nom;+;2;0;0;5;
palheta;nom;A;1;1;0;5;
plectro;nom;+;1;0;0;4;
zunido;nom;-;0;1;0;3;
celeuma;nom;-;0;2;0;3;
amplitude;nom;0;0;0;3;1;
festival;adj;+;1;0;0;5;
trovejar;vrb;-;0;1;0;3;
prática;nom;+;3;0;0;2;
apegadiço;adj;A;1;1;0;4;
conspurcado;adj;-;0;1;0;7;
contemporizador;adj,nom;-;0;1;0;4;
cunctatório;adj;-;0;1;0;3;
garabulhento;adj;-;0;2;0;3;
incredulidade;nom;-;0;2;0;3;
cepticismo;nom;-;0;3;0;3;
sentimental;adj;+;1;0;0;4;
insuflação;nom;+;1;0;0;4;
estrebuchamento;nom;-;0;1;0;5;
ventoinha;nom;+;2;0;0;5;
veleta;nom;+;1;0;0;5;
alcatruzar;vrb;A;1;1;0;2;
picado;adj,nom;A;2;2;0;4;
aniquilamento;nom;+;3;0;0;4;
zefirino;adj;+;1;0;0;3;
salve;nom;+;1;0;0;5;
cacau;nom;+;1;0;0;4;
oprimido;adj;-;0;3;0;4;
fístula;nom;-;0;1;0;4;
broca;nom;-;1;3;0;3;
travão;nom;-;0;2;0;4;
grã;nom;+;1;0;0;5;
agermanar;vrb;A;1;1;0;4;
ímpio;adj,nom;-;0;2;0;3;
nefando;adj;-;0;3;0;2;
vicejo;nom;-;1;2;0;3;
vitrina;nom;+;1;0;0;5;
montra;nom;+;1;0;0;4;
contagem;nom;+;2;0;0;5;
cômputo;nom;+;2;0;0;4;
embasar;vrb;+;1;0;0;4;
penugem;nom;+;2;0;0;5;
antepor;vrb;0;0;0;1;4;
machim;nom;+;1;0;0;8;
machete;nom;+;1;0;0;7;
convidativo;adj;+;1;0;0;5;
convidante;adj;+;1;0;0;6;
introduzir-se;vrb;A;1;0;1;3;
incrustar;vrb;+;1;0;0;4;
cachoeira;nom;-;0;1;0;4;
algenil;nom;-;0;1;0;5;
asnil;nom;-;0;1;0;4;
encovar;vrb;A;1;0;1;3;
pé-de-cantiga;nom;+;1;0;0;4;
alofilo;nom;+;1;0;0;5;
flórido;adj;+;4;0;0;3;
resvalar;vrb;0;0;0;1;2;
nicles;adv;-;0;1;0;5;
puto;adv,nom;A;1;1;0;4;
sorrabar;vrb;+;2;0;0;5;
joaninha;nom;-;0;1;0;4;
alfaiate;nom;-;0;1;0;5;
vender-se;vrb;-;0;1;0;4;
visco;nom;-;0;1;0;3;
chocalhice;nom;-;0;1;0;4;
compendioso;adj;+;1;0;0;4;
desencaixotar;vrb;+;1;0;0;5;
desembalar;vrb;+;3;0;0;4;
salva;nom;+;2;0;0;4;
achaque;nom;-;0;5;0;3;
ventilante;adj;-;0;1;0;6;
quizomba;nom;+;2;0;0;3;
felicitar;vrb;+;1;0;0;3;
gratular;vrb;+;1;0;0;4;
vagamundo;nom;-;0;1;0;5;
revolucionado;adj;-;0;1;0;4;
revoluto;adj;-;0;3;0;3;
desacatamento;nom;-;0;1;0;3;
desveneração;nom;-;0;1;0;4;
sadio;adj;+;4;0;0;2;
salubre;adj;+;1;0;0;2;
circuição;nom;-;0;1;0;3;
aquiescência;nom;+;2;0;0;4;
generalizar-se;vrb;0;0;0;1;4;
banalizar;vrb;0;1;0;2;5;
aplainar;vrb;+;2;1;0;3;
soco;nom;A;1;1;0;3;
badalhocar;vrb;-;0;3;0;4;
respiradoiro;nom;-;0;1;0;4;
respiradouro;nom;-;0;1;0;3;
permutar;vrb;A;1;0;1;3;
intimidar;vrb;-;0;1;0;3;
autodomínio;nom;+;2;0;0;4;
fenecer;vrb;+;2;0;0;3;
imaginar-se;vrb;0;1;0;2;2;
quebra-esquinas;nom;-;0;1;0;4;
sulcado;adj;-;0;1;0;5;
revolvido;adj;-;0;2;0;3;
totalmente;adv;+;2;0;1;4;
radicalmente;adv;0;0;0;1;4;
hoste;nom;+;2;0;0;5;
tumbeiro;nom;+;1;0;0;9;
moralizador;adj,nom;+;1;0;0;3;
edificante;adj,nom;+;3;0;0;3;
enfartado;adj;-;0;1;0;3;
estopetar;vrb;+;1;0;0;8;
sintomia;nom;+;1;0;0;5;
bedelho;nom;-;0;1;0;5;
courela;nom;-;0;2;0;4;
quadrela;nom;-;2;3;0;4;
estouro;nom;A;0;1;1;2;
rebentar;vrb;+;6;0;1;3;
tranco;nom;-;0;1;0;3;
emalar;vrb;-;0;1;0;5;
empacar;vrb;-;0;1;0;4;
bafejar;vrb;+;2;0;0;4;
intonso;adj;-;0;1;0;4;
montuoso;adj;-;0;1;0;5;
anarquia;nom;-;0;2;0;3;
rebulhar;vrb;+;2;0;0;4;
repoltrear-se;vrb;+;2;0;0;5;
abocadura;nom;+;1;0;0;3;
cerar;vrb;+;1;0;0;5;
punir;vrb;+;2;0;0;4;
anuência;nom;+;6;0;1;4;
veador;nom;-;0;1;0;8;
malfazejo;adj;-;0;2;0;2;
gorja;nom;+;2;1;0;4;
resmoneador;nom;-;0;1;0;5;
ferropear;vrb;-;0;1;0;3;
enfeites;nom;+;1;0;0;3;
blasfémia;nom;-;0;2;0;2;
inflectir;vrb;A;1;1;0;2;
supercílio;nom;-;0;2;0;4;
amansar-se;vrb;-;0;1;0;5;
limitar-se;vrb;0;0;0;1;2;
incubação;nom;0;0;0;2;2;
chocagem;nom;0;0;0;1;3;
formigueiro;nom;-;0;2;0;3;
fervilheiro;nom;-;0;1;0;4;
vigiar;vrb;+;6;0;0;3;
modestamente;adv;-;0;1;0;7;
romanesco;adj,nom;+;1;0;0;3;
tarecada;nom;-;0;1;0;4;
trastalhada;nom;-;0;2;0;5;
enliçador;nom;-;0;3;0;5;
desafortunado;adj;-;0;1;0;2;
malventuroso;adj;-;0;2;0;3;
impróprio;adj;-;0;3;0;3;
fabuloso;adj;+;3;0;0;3;
denguice;nom;-;0;1;0;3;
conchegar;vrb;0;0;0;1;2;
crescença;nom;0;0;0;1;2;
matiz;nom;+;1;0;0;3;
apelido;nom;+;1;0;0;4;
indefinidamente;adv;+;1;0;0;9;
liderança;nom;+;1;0;0;3;
taxia;nom;+;3;0;0;2;
tactismo;nom;+;1;0;0;3;
truque;nom;A;1;1;0;2;
lógico;adj;+;4;0;0;4;
grimpo;adj;+;1;0;0;4;
perfídia;nom;-;0;1;0;3;
variegado;adj;A;1;1;0;4;
tramontana;nom;+;2;0;0;4;
sebáceo;adj;A;1;1;0;3;
zaino;adj;-;0;1;0;4;
desacerbar;vrb;-;0;1;0;4;
ortodoxo;nom;+;1;0;0;7;
purista;nom,adj;+;2;0;0;6;
pascácio;adj,nom;-;0;5;0;4;
espertalhão;adj,nom;-;0;1;0;3;
amarroado;adj;-;0;2;0;3;
pasmatório;nom;-;0;1;0;5;
basbaquice;nom;-;0;1;0;4;
vulgarmente;adv;0;0;0;1;4;
transferidor;nom;-;0;1;0;7;
ralho;nom;-;0;1;0;3;
alçapremar;vrb;+;2;1;0;2;
contrapesar;vrb;0;0;0;2;4;
enrubescido;adj;-;0;1;0;5;
encarrapitar-se;vrb;+;1;0;0;3;
encocurutar;vrb;+;1;0;0;4;
estafado;adj;-;0;1;0;4;
instintividade;nom;+;1;0;0;4;
donairoso;adj;+;1;0;0;3;
donoso;adj;+;1;0;0;4;
desilusão;nom;-;0;2;0;2;
abrigado;adj;+;2;0;0;5;
taloca;nom;+;3;0;0;5;
sonolência;nom;A;2;2;0;4;
barulheira;nom;-;0;4;0;3;
leseira;nom;-;0;2;0;4;
ascético;adj;+;3;1;0;3;
arrudado;adj;-;1;2;0;4;
fadista;nom;-;0;1;0;4;
chaise-longue;nom;+;1;0;0;5;
tirante;adj;0;0;0;1;4;
abóbora;nom;+;1;0;0;3;
cucúrbita;nom;+;1;0;0;4;
caropa;nom;+;1;0;0;4;
carapula;nom;+;1;0;0;5;
sobranceiro;adj;+;3;0;0;3;
maldizente;nom,adj;-;0;4;0;5;
cancelado;adj;0;0;0;1;4;
zoada;nom;A;1;1;0;2;
zoeira;nom;-;0;1;0;3;
capilamento;nom;-;0;1;0;6;
governar-se;vrb;0;0;0;1;2;
alinhavar;vrb;0;1;0;2;3;
tinto;adj;A;1;1;0;4;
farsista;nom;-;0;1;0;6;
jogral;nom;-;0;1;0;5;
encerramento;nom;+;5;0;0;4;
desenconchar;vrb;0;0;0;1;3;
escandaloso;adj;A;1;1;0;4;
atinente;adj;+;2;0;0;4;
farrapeiro;nom;-;0;1;0;8;
precedência;nom;-;0;1;0;4;
deformado;adj;-;0;1;0;4;
distorcido;adj;-;0;1;0;5;
fidalguia;nom;+;3;0;0;3;
fractura;nom;+;1;0;0;3;
atracção;nom;+;2;0;0;3;
pegadilha;nom;-;0;3;0;4;
damo;nom;+;1;0;0;4;
espulgar;vrb;+;1;0;0;4;
estalicar;vrb;A;1;0;1;3;
trituração;nom;-;0;1;0;5;
conspurcação;nom;-;0;1;0;4;
lavradio;nom,adj;+;1;0;0;4;
chofrar;vrb;-;0;1;0;2;
fona;nom;A;2;2;0;4;
dicção;nom;+;2;0;0;4;
locução;nom;+;1;0;0;4;
ceifa;nom;-;0;1;0;3;
descontentamento;nom;-;0;3;0;3;
invencionar;vrb;0;0;0;1;3;
prestigiador;nom;+;2;0;0;5;
tabefe;nom;-;0;2;0;4;
cadilhos;nom;+;1;0;0;6;
franja;nom;+;2;0;0;5;
mesura;nom;+;1;0;0;3;
desinflamar;vrb;-;0;1;0;4;
desengano;nom;-;1;3;0;3;
fedífrago;adj;-;0;1;0;4;
coloração;nom;+;1;0;0;4;
gamboa;nom;-;0;1;0;6;
arruinar-se;vrb;-;0;1;0;2;
confessar;vrb;+;3;0;0;3;
itupava;nom;-;0;1;0;5;
imaginativo;adj;+;4;1;0;4;
performance;nom;+;4;0;0;4;
carinhos;nom;+;1;0;0;6;
apaparicos;nom;+;1;0;0;5;
imoto;adj;+;2;0;0;3;
enquadrar;vrb;+;1;0;0;3;
assobiadela;nom;+;2;1;0;3;
humanidade;nom;-;0;1;0;3;
cumprir-se;vrb;+;2;0;0;2;
copianço;nom;-;0;1;0;4;
prole;nom;0;0;0;1;3;
transfixar;vrb;+;1;0;0;4;
intransitável;adj;-;0;1;0;2;
inviável;adj;-;0;1;0;3;
estrangulamento;nom;-;0;1;0;5;
esgana;nom;-;0;1;0;6;
futebol;nom;+;1;0;0;4;
desporto-rei;nom;+;1;0;0;5;
nartece;nom;+;1;0;0;5;
cara-metade;nom;+;1;0;0;4;
metade;nom;+;1;0;0;3;
enjugar;vrb;0;0;0;1;4;
ossário;nom;+;1;0;0;6;
ossaria;nom;+;1;0;0;7;
extático;adj;-;1;3;0;4;
leiva;nom;+;2;0;0;5;
salutar;adj;+;3;0;0;2;
rufo;nom,adj;-;0;1;0;4;
rufadela;nom;-;0;1;0;5;
assoberbar;vrb;-;0;1;0;1;
desembargado;adj;+;1;0;0;4;
estratégia;nom;+;2;1;0;3;
alentado;adj;+;1;0;0;3;
amalhar;vrb;+;1;0;0;4;
afoito;adj;+;4;1;0;4;
catarata;nom;-;0;2;0;4;
caligem;nom;-;0;1;0;3;
bugiar;vrb;+;2;0;0;5;
trambicar;vrb;+;2;0;0;4;
cerração;nom;-;0;3;0;3;
interpolar;vrb;A;1;0;1;4;
setáceo;adj;-;0;1;0;5;
rixador;nom,adj;-;0;1;0;4;
retransir;vrb;+;2;0;0;4;
irrisório;adj;-;0;4;0;3;
derisório;adj;-;0;1;0;3;
pregação;nom;-;2;3;0;4;
soneca;nom;+;1;0;0;6;
roncada;nom;+;1;0;0;7;
testilhar;vrb;+;2;0;0;4;
perdurável;adj;+;3;0;0;4;
inextinguível;adj;+;2;0;0;5;
severamente;adv;0;0;0;1;11;
duramente;adv;0;0;0;1;10;
manite;nom;+;1;0;0;8;
inóxio;adj;+;1;0;0;6;
escurril;adj;-;0;1;0;3;
renhido;adj;A;1;1;0;3;
irreflexão;nom;+;4;0;0;3;
engatatão;nom;-;0;1;0;6;
paquerador;nom;-;0;1;0;5;
trepidação;nom;-;0;4;0;3;
acensão;nom;-;0;1;0;4;
paradisíaco;adj;+;2;0;0;3;
edénico;adj;+;1;0;0;4;
esbandalhar;vrb;-;0;2;1;4;
deseclipsar;vrb;+;2;0;0;3;
prófugo;adj;-;0;4;0;4;
agostado;adj;-;0;1;0;4;
seita;nom;+;3;0;0;4;
disferir;vrb;+;1;0;0;1;
pinga-amor;nom;-;0;1;0;6;
arcobotante;nom;+;1;0;0;6;
esboroamento;nom;+;2;0;0;3;
esborralhada;nom;+;2;0;0;4;
rentável;adj;+;2;0;0;3;
turca;nom;-;0;2;0;4;
tufoso;adj;0;0;0;1;3;
morigerado;adj;+;1;0;0;3;
resposta;nom;A;1;1;0;3;
esfalfar-se;vrb;-;0;1;0;2;
desmoronado;adj;-;0;1;0;4;
cajado;nom;+;3;0;0;4;
armado;adj;+;2;0;0;4;
cinzelado;adj;+;1;0;0;4;
atingido;adj;A;1;1;0;4;
alcançado;adj;+;2;0;0;4;
nanar;vrb;+;1;0;0;6;
bem-criado;adj;+;3;0;0;4;
ente;nom;+;1;0;0;3;
empavonar-se;vrb;+;2;0;0;5;
empantufar;vrb;+;1;0;0;4;
necessariamente;adv;0;0;0;1;5;
indúvia;nom;+;2;0;0;4;
esbeiçar;vrb;0;0;0;1;3;
sitiante;nom;-;0;1;0;4;
ridicularizar;vrb;-;0;2;0;2;
desenfeitiçar;vrb;+;1;0;0;5;
entourado;adj;-;0;2;0;5;
pujança;nom;A;1;0;1;3;
tarreco;nom;-;0;1;0;9;
amolachar;vrb;-;0;1;0;3;
sobrecarregado;adj;A;2;2;0;4;
abarbado;adj;+;1;0;0;3;
enzoneiro;nom;+;2;0;0;5;
bochechudo;adj;-;0;1;0;4;
belfudo;adj;-;0;1;0;5;
apresentável;adj;+;1;0;0;5;
bem-apessoado;adj;+;1;0;0;6;
pipitar;vrb;+;1;0;0;7;
pipiar;vrb;+;1;0;0;6;
almocela;nom;+;1;0;0;4;
espectar;vrb;+;1;0;0;3;
esplanada;nom;+;1;0;0;7;
faniqueira;nom;-;0;1;0;5;
chilreio;nom;-;0;1;0;6;
belzebútico;adj;-;0;1;0;3;
mal-encarado;adj;-;0;3;0;4;
façanhudo;adj;-;1;2;0;4;
plenitude;nom;0;0;0;1;1;
tremeluzente;adj;+;1;0;0;5;
atinado;adj;+;4;0;0;4;
fado;nom;+;3;0;0;2;
tabique;nom;+;3;1;0;4;
parede;nom;-;1;2;0;4;
imisericordioso;adj;-;0;2;0;2;
opado;adj;0;0;0;1;2;
assombramento;nom;-;0;2;0;4;
anegar;vrb;-;0;2;0;4;
travia;nom;+;3;0;0;4;
desmazelar;vrb;-;0;1;0;3;
apatetado;adj;-;0;2;0;4;
fardagem;nom;-;0;2;0;5;
mordomia;nom;+;3;0;0;4;
consectário;adj,nom;+;3;0;0;4;
flagrante;adj,nom;+;5;0;0;4;
desnivelado;adj;A;1;1;0;4;
pouco;adj,adv,nom;-;0;1;0;2;
poucacho;adj;-;0;1;0;3;
peneira;nom;-;0;2;0;3;
repreensível;adj;-;0;2;0;3;
repartidor;nom,adj;-;0;1;0;7;
taful;nom,adj;+;2;0;0;4;
marouvaz;nom;-;0;3;0;4;
embrincar;vrb;0;0;0;1;3;
mordo;nom;-;0;2;0;4;
venenífero;adj;-;0;2;0;3;
alcoviteirice;nom;-;0;2;0;3;
recurvar;vrb;A;1;1;0;3;
adstrito;adj;+;4;2;0;4;
gafanhoto;nom;-;0;1;0;6;
saltarico;nom;-;0;1;0;7;
intrusão;nom;-;0;1;0;4;
rapariga;nom;+;3;2;0;5;
passivo;adj;-;1;2;0;4;
laico;adj;-;0;2;0;5;
intensamente;adv;-;0;1;0;2;
pervicaz;adj;-;1;2;0;5;
funestação;nom;-;0;2;0;3;
despersuadir;vrb;+;2;0;0;5;
histerismo;nom;-;0;1;0;4;
descrença;nom;-;0;1;0;2;
chacha;nom;+;1;0;0;3;
travesseiro;nom;+;1;0;0;5;
alifafe;nom;+;3;0;0;5;
exigir;vrb;0;0;0;2;2;
lavrador;nom;+;1;0;0;8;
arador;nom;+;1;0;0;9;
exuberar;vrb;0;0;0;1;4;
traça;nom;+;1;0;0;2;
emergência;nom;+;1;0;0;4;
inamovível;adj;+;2;0;0;3;
frângão;nom;+;1;0;0;6;
causativo;adj;+;1;0;0;5;
factitivo;adj;+;1;0;0;6;
revalidar;vrb;+;2;0;0;2;
repristinar;vrb;+;1;0;0;3;
penitenciar-se;vrb;A;1;1;0;4;
autoflagelar-se;vrb;+;1;0;0;3;
deluzir-se;vrb;A;0;1;1;4;
engavelar;vrb;-;0;1;0;4;
sagração;nom;+;1;0;0;5;
desmanchado;adj;-;0;2;0;4;
mainça;nom;+;2;0;0;4;
monte;nom;+;1;0;0;3;
expedição;nom;+;3;0;1;4;
avindo;adj,nom;+;1;0;0;4;
cocuruto;nom;+;3;0;0;4;
perecer;vrb;+;2;0;0;3;
aríete;nom;+;1;0;0;6;
carneiro;nom;+;1;0;0;5;
hediondez;nom;-;0;2;0;4;
dubúria;nom;+;2;0;0;3;
ferradela;nom;-;0;3;0;5;
desinfamar;vrb;+;1;0;0;4;
nímio;adj;0;0;0;1;2;
camisinha;nom;+;1;0;0;6;
orfeico;adj;+;2;0;0;4;
estragadão;nom;-;0;1;0;4;
aberta;nom;+;4;0;1;4;
explícito;adj;+;2;0;0;3;
pieguice;nom;+;2;0;0;4;
intentado;adj;-;0;3;0;4;
prejudicar-se;vrb;+;2;0;0;3;
impecável;adj;+;1;0;0;2;
fabricante;nom,adj;+;2;0;0;5;
trampolina;nom;A;1;1;0;2;
painel;nom;+;2;0;0;4;
pingão;nom,adj;-;0;1;0;3;
semifluido;adj;-;0;3;0;4;
nédio;adj;+;3;0;0;3;
rolho;adj,nom;+;2;0;0;3;
antiguidade;nom;0;0;0;1;5;
ancianidade;nom;0;0;0;2;5;
hermético;adj;-;0;1;0;4;
críptico;adj;-;0;1;0;5;
bicancra;nom;-;0;1;0;4;
empecilhar;vrb;+;2;1;0;3;
assustado;adj;A;1;1;0;4;
pávido;adj;-;0;1;0;4;
sinopse;nom;+;1;0;0;4;
amargurar;vrb;-;0;2;0;3;
atratantado;adj;-;0;1;0;3;
discretamente;adv;+;1;0;0;11;
prestância;nom;+;3;0;0;4;
estomagar;vrb;+;3;0;0;3;
galivar;vrb;+;1;0;0;5;
fero;adj,nom;A;2;2;0;3;
diferenciação;nom;+;2;0;0;4;
laxante;nom,adj;+;3;0;0;9;
amarração;nom;A;1;0;1;4;
combalido;adj;-;1;3;0;3;
desnalgar;vrb;0;0;0;1;5;
descadeirar;vrb;0;0;0;1;4;
intrujar;vrb;+;3;0;0;4;
ribanceira;nom;+;3;0;0;5;
sofrido;adj;-;0;2;0;2;
ufania;nom;-;0;2;0;3;
bênção;nom;+;1;0;0;3;
piruetar;vrb;+;2;0;0;3;
venturo;adj;+;1;0;0;4;
adulterado;adj;-;0;2;0;2;
conservatória;nom;+;1;0;0;5;
enfeitiçado;adj;-;1;2;0;5;
intersilhado;adj;+;2;1;0;5;
desenculatrar;vrb;A;1;1;0;4;
curtido;adj;+;2;0;0;3;
pretidão;nom;-;0;1;0;2;
táctica;nom;+;2;0;0;4;
abusivo;adj;-;0;1;0;4;
afluente;adj,nom;+;1;0;0;3;
tingir;vrb;-;0;1;0;3;
desamolgar;vrb;-;0;1;0;4;
bondade;nom;+;4;0;0;4;
idiotamente;adv;0;0;0;1;4;
nesciamente;adv;0;0;0;1;3;
cometimento;nom;+;2;1;0;4;
provecto;adj;+;2;0;0;3;
buzarate;adj;+;1;0;0;4;
pechada;nom;-;0;1;0;1;
comunidade;nom;+;1;0;0;5;
pronunciado;adj;+;3;1;0;3;
articulado;adj,nom;+;1;0;0;4;
batuque;nom;+;1;0;0;4;
materialão;nom;-;0;1;0;5;
elação;nom;+;4;0;0;4;
escabrear;vrb;+;2;0;0;3;
pormenorização;nom;+;2;0;0;5;
depurar;vrb;0;0;0;1;2;
reputado;adj;+;2;0;0;3;
frequência;nom;+;2;0;1;4;
consubstanciar;vrb;A;1;0;1;5;
açúcar;nom;+;1;0;0;2;
reptamento;nom;+;1;0;0;6;
reptação;nom;+;1;0;0;5;
fistular;adj,vrb;-;0;1;0;4;
fistuloso;adj;-;0;3;0;5;
cabo-de-guerra;nom;+;2;0;0;5;
minudente;adj;+;3;0;0;4;
marmóreo;adj;-;0;1;0;2;
romancear;vrb;+;2;0;0;4;
arromançar;vrb;+;1;0;0;5;
tefe-tefe;nom;-;0;1;0;5;
desembaciar;vrb;+;1;0;0;4;
crítica;nom;+;3;0;0;4;
desenho;nom;+;3;0;0;3;
prorrogação;nom;0;0;0;1;3;
raiano;adj;-;0;1;0;4;
fronteiriço;adj;-;0;1;0;5;
descambado;adj;+;2;0;0;3;
desapeirar;vrb;0;0;0;2;3;
perene;adj;+;4;0;0;5;
acriançado;adj;-;0;1;0;3;
moleque;adj,nom;-;1;5;0;4;
pugilista;nom;+;2;0;0;5;
participação;nom;+;8;0;0;4;
obnubilar;vrb;-;0;2;0;4;
limiar;nom;+;3;0;0;4;
boqueira;nom;+;2;0;0;4;
gomar;vrb;+;1;0;0;3;
remodelar;vrb;0;0;0;2;4;
adquirido;adj;-;0;1;0;4;
contraído;adj;-;0;2;0;3;
abordo;nom;+;3;0;0;4;
estritura;nom;-;0;2;0;4;
reviralho;nom;A;1;1;0;4;
incontinente;adj;0;0;0;2;3;
emparedado;adj;+;1;0;0;7;
entaipado;adj,nom;+;1;0;0;6;
entrefolho;nom;+;2;0;0;4;
acidental;adj;A;2;2;0;4;
apsiquismo;nom;-;0;1;0;5;
nauseante;adj;-;0;2;0;4;
conseguido;adj;+;1;0;0;5;
embalar;vrb;+;2;1;1;4;
inferno;nom;-;0;3;0;3;
amásia;nom;+;1;0;0;6;
atavio;nom;-;0;1;0;3;
embaucador;nom;A;1;1;0;5;
culpável;adj;-;0;2;0;3;
ressaltar;vrb;+;4;0;0;3;
farfalhudo;adj;+;3;1;0;4;
tocador;adj,nom;-;0;1;0;5;
lapidado;adj;+;3;0;0;4;
acuta;nom;+;1;0;0;4;
destimidez;nom;+;2;0;0;4;
desempregado;adj;-;0;1;0;5;
calamidades;nom;-;0;1;0;5;
copiar;vrb,nom;A;1;1;1;3;
vulcânico;adj;-;0;2;0;4;
babado;adj;A;1;1;0;4;
ressaibo;nom;+;2;0;0;3;
supereminência;nom;+;1;0;0;4;
aderente;adj;+;1;0;0;4;
mergulho;nom;+;1;0;0;3;
fimba;nom;+;1;0;0;4;
cruciar;vrb;-;1;2;0;4;
adivinha;nom;+;1;0;0;4;
profetisa;nom;+;2;1;0;5;
varejar;vrb;+;2;0;1;3;
desenfrear;vrb;+;2;0;0;4;
absorvente;adj;+;1;0;0;3;
putativo;adj;+;2;0;0;4;
escachar;vrb;+;2;0;0;4;
contemplar;vrb;+;2;0;0;2;
trapejar;vrb;+;1;0;0;6;
trapear;vrb;+;1;0;0;7;
caneiro;nom;A;1;1;0;5;
arrasto;nom;-;0;1;0;3;
exasperar;vrb,nom;+;2;0;1;3;
sediar;vrb;0;0;0;1;4;
olhos;nom;+;1;0;0;5;
desar;nom;-;0;2;0;4;
destroços;nom;-;0;1;0;5;
númen;nom;+;2;0;0;3;
arrotação;nom;-;0;2;0;3;
súpero;adj;+;1;0;0;3;
aformoseamento;nom;-;0;1;0;4;
mortífero;adj;-;0;3;0;3;
montagem;nom;+;1;0;0;3;
mise_en_scène;nom;+;1;0;0;4;
esmaecer;vrb;-;1;2;1;4;
chanfro;nom;+;1;0;0;5;
embraiagem;nom;-;0;1;0;6;
engate;nom;-;0;1;0;5;
reconciliar-se;vrb;A;1;0;1;3;
indumentária;nom;+;1;0;0;4;
vestiaria;nom;A;1;1;0;5;
capoeira;nom;+;2;0;0;4;
calibre;nom;+;2;0;0;3;
garrulice;nom;-;0;2;0;4;
atribuir-se;vrb;+;1;0;0;4;
casebre;nom;+;2;0;0;5;
casitéu;nom;+;1;0;0;6;
enlouquecimento;nom;+;1;0;0;5;
cortiço;nom;+;1;0;0;4;
corcho;nom;+;1;0;0;5;
librina;nom;-;0;1;0;4;
raivinha;nom;-;0;1;0;4;
esbodegação;nom;A;1;1;0;4;
afiguração;nom;+;1;0;0;3;
lareiro;nom;-;0;1;0;4;
esguelha;nom;+;2;0;0;4;
esguelhão;nom;+;3;0;0;4;
contradeclarar;vrb;+;1;0;0;5;
alambazado;adj;-;0;2;0;3;
encarneirar-se;vrb;0;0;0;2;4;
paspalhice;nom;-;0;1;0;4;
tramação;nom;+;1;0;0;3;
baralhada;nom;-;0;4;0;3;
treleado;adj;-;0;2;0;5;
sombrear;vrb;-;0;3;0;3;
destocar;vrb;+;1;0;0;3;
artrozoários;nom;+;1;0;0;9;
artrópode;nom;+;1;0;0;8;
braça;nom;+;1;0;0;6;
caseiro;nom,adj;+;2;0;0;3;
etimologia;nom;+;1;0;0;4;
adurência;nom;-;0;2;0;4;
acostado;adj;+;2;0;0;5;
despotismo;nom;-;0;3;0;3;
imprecar;vrb;A;0;1;1;3;
deblaterar;vrb;+;1;0;0;4;
floreio;nom;-;0;2;0;4;
ornamento;nom;-;0;1;0;3;
repinchar;vrb;A;1;0;1;3;
povinho;nom;+;1;0;0;5;
arreliar;vrb;+;6;0;0;4;
caravela;nom;+;1;0;0;5;
evadir-se;vrb;+;1;0;0;3;
escapulir;vrb;+;3;0;0;4;
catrefada;nom;+;2;0;0;5;
magistral;adj;+;1;0;0;2;
murmurejo;nom;-;0;1;0;3;
pontudo;adj;-;0;3;0;3;
aquelar;vrb;0;0;0;1;2;
declamação;nom;+;1;0;0;5;
recitação;nom;+;1;0;0;6;
celsitude;nom;+;3;0;0;4;
custodiar;vrb;+;1;0;0;5;
presidiar;vrb;+;1;0;0;4;
externo;adj;+;2;0;0;4;
idiopatia;nom;-;0;1;0;3;
carecido;adj;-;1;4;0;4;
pintainho;nom;+;1;0;0;7;
frangainho;nom;+;1;0;0;6;
içar-se;vrb;+;1;0;0;4;
bujarrona;nom;-;0;2;0;4;
pleonasmo;nom;0;0;0;1;4;
redundância;nom;0;0;0;1;3;
pejamento;nom;-;0;2;0;3;
imortal;adj;+;1;0;0;4;
maneiras;nom;+;1;0;0;3;
impedição;nom;-;0;3;0;3;
nitidez;nom;+;3;1;0;3;
disciplinar-se;vrb;0;0;0;1;3;
entibiar;vrb;-;0;4;0;3;
loquela;nom;+;2;1;0;4;
zorrão;adj;-;0;1;0;4;
piso;nom;+;2;0;0;4;
gordalhaço;adj;+;1;0;0;6;
enxota-diabos;nom;+;1;0;0;7;
infactível;adj;A;1;1;0;5;
regrado;adj;+;1;0;0;2;
aboleimar;vrb;+;1;0;0;5;
promover;vrb;0;3;0;5;3;
engonçar;vrb;A;1;0;1;3;
guzo;nom;-;0;2;0;3;
nulificar;vrb;-;0;1;0;4;
expandir-se;vrb;+;1;0;0;5;
malcontente;adj;-;0;2;0;3;
desafogo;nom;A;2;0;2;3;
desaperto;nom;0;0;0;1;3;
embotijar;vrb;+;1;0;0;5;
sorver;vrb;A;2;2;0;3;
publicar;vrb;0;2;1;3;3;
labrosta;nom;-;0;1;0;3;
vestuário;nom;+;3;0;0;3;
nolição;nom;-;0;1;0;4;
concórdia;nom;+;4;0;0;3;
acolchetar;vrb;0;0;0;1;5;
infibular;vrb;0;0;0;1;4;
representar-se;vrb;0;0;0;1;3;
marralheiro;adj;-;0;3;0;4;
cavalgar;vrb;+;3;0;0;3;
reconstituir-se;vrb;+;3;0;0;4;
desfastio;nom;+;2;1;0;3;
encostadela;nom;-;0;1;0;3;
desencerrar;vrb;0;0;0;1;3;
entreter-se;vrb;+;1;0;0;5;
